Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin,Weight_in_kg,Liters_per_100km,Kilometers
opel manta,24.0,4,116.0,75.0,2158,15.5,1973,Europe,978.8523344600001,9.800607625,38.62416
audi 100ls,20.0,4,114.0,91.0,2582,14.0,1973,Europe,1171.17549934,11.76072915,32.1868
volvo 144ea,19.0,4,121.0,112.0,2868,15.5,1973,Europe,1300.90291716,12.379714894736843,30.57746
dodge dart custom,15.0,8,318.0,150.0,3399,11.0,1973,USA,1541.76046563,15.680972200000001,24.1401
saab 99le,24.0,4,121.0,110.0,2660,14.0,1973,Europe,1206.5557042,9.800607625,38.62416
toyota mark ii,20.0,6,156.0,122.0,2807,13.5,1973,Japan,1273.2337825900001,11.76072915,32.1868
oldsmobile omega,11.0,8,350.0,180.0,3664,11.0,1973,USA,1661.96244368,21.383143909090908,17.70274
plymouth duster,20.0,6,198.0,95.0,3102,16.5,1974,USA,1407.0435317400002,11.76072915,32.1868
ford maverick,21.0,6,200.0,,2875,17.0,1974,USA,1304.07806375,11.20069442857143,33.79614
amc hornet,19.0,6,232.0,100.0,2901,16.0,1974,USA,1315.8714653700001,12.379714894736843,30.57746
chevrolet nova,15.0,6,250.0,100.0,3336,17.0,1974,USA,1513.18414632,15.680972200000001,24.1401
datsun b210,31.0,4,79.0,67.0,1950,19.0,1974,Japan,884.5051215000001,7.587567193548387,49.88954
ford pinto,26.0,4,122.0,80.0,2451,16.5,1974,USA,1111.75489887,9.046714730769231,41.84284
toyota corolla 1200,32.0,4,71.0,65.0,1836,21.0,1974,Japan,832.7955913200001,7.35045571875,51.49888
chevrolet vega,25.0,4,140.0,75.0,2542,17.0,1974,USA,1153.0318045400002,9.40858332,40.2335
chevrolet chevelle malibu classic,16.0,6,250.0,100.0,3781,17.0,1974,USA,1715.03275097,14.7009114375,25.74944
amc matador,16.0,6,258.0,110.0,3632,18.0,1974,USA,1647.4474878400001,14.7009114375,25.74944
plymouth satellite sebring,18.0,6,225.0,105.0,3613,16.5,1974,USA,1638.8292328100001,13.067476833333334,28.96812
ford gran torino,16.0,8,302.0,140.0,4141,14.0,1974,USA,1878.32600417,14.7009114375,25.74944
buick century luxus (sw),13.0,8,350.0,150.0,4699,14.5,1974,USA,2131.43054663,18.093429461538463,20.92142
dodge coronet custom (sw),14.0,8,318.0,150.0,4457,13.5,1974,USA,2021.66119309,16.801041642857143,22.53076
ford gran torino (sw),14.0,8,302.0,140.0,4638,16.0,1974,USA,2103.76141206,16.801041642857143,22.53076
amc matador (sw),14.0,8,304.0,150.0,4257,15.5,1974,USA,1930.94271909,16.801041642857143,22.53076
audi fox,29.0,4,98.0,83.0,2219,16.5,1974,Europe,1006.52146903,8.110847689655172,46.67086
volkswagen dasher,26.0,4,79.0,67.0,1963,15.5,1974,Europe,890.4018223100001,9.046714730769231,41.84284
opel manta,26.0,4,97.0,78.0,2300,14.5,1974,Europe,1043.262451,9.046714730769231,41.84284
toyota corona,31.0,4,76.0,52.0,1649,16.5,1974,Japan,747.97381813,7.587567193548387,49.88954
datsun 710,32.0,4,83.0,61.0,2003,19.0,1974,Japan,908.54551711,7.35045571875,51.49888
dodge colt,28.0,4,90.0,75.0,2125,14.5,1974,USA,963.8837862500001,8.400520821428572,45.06152
fiat 128,24.0,4,90.0,75.0,2108,15.5,1974,Europe,956.17271596,9.800607625,38.62416
fiat 124 tc,26.0,4,116.0,75.0,2246,14.0,1974,Europe,1018.76846302,9.046714730769231,41.84284
honda civic,24.0,4,120.0,97.0,2489,15.0,1974,Japan,1128.99140893,9.800607625,38.62416
subaru,26.0,4,108.0,93.0,2391,15.5,1974,Japan,1084.53935667,9.046714730769231,41.84284
fiat x1.9,31.0,4,79.0,67.0,2000,16.0,1974,Europe,907.18474,7.587567193548387,49.88954
plymouth valiant custom,19.0,6,225.0,95.0,3264,16.0,1975,USA,1480.5254956800002,12.379714894736843,30.57746
chevrolet nova,18.0,6,250.0,105.0,3459,16.0,1975,USA,1568.97600783,13.067476833333334,28.96812
mercury monarch,15.0,6,250.0,72.0,3432,21.0,1975,USA,1556.72901384,15.680972200000001,24.1401
ford maverick,15.0,6,250.0,72.0,3158,19.5,1975,USA,1432.4447044600001,15.680972200000001,24.1401
pontiac catalina,16.0,8,400.0,170.0,4668,11.5,1975,USA,2117.36918316,14.7009114375,25.74944
chevrolet bel air,15.0,8,350.0,145.0,4440,14.0,1975,USA,2013.9501228000001,15.680972200000001,24.1401
plymouth grand fury,16.0,8,318.0,150.0,4498,14.5,1975,USA,2040.2584802600002,14.7009114375,25.74944
ford ltd,14.0,8,351.0,148.0,4657,13.5,1975,USA,2112.37966709,16.801041642857143,22.53076
buick century,17.0,6,231.0,110.0,3907,21.0,1975,USA,1772.18538959,13.836151941176471,27.35878
chevroelt chevelle malibu,16.0,6,250.0,105.0,3897,18.5,1975,USA,1767.64946589,14.7009114375,25.74944
amc matador,15.0,6,258.0,110.0,3730,19.0,1975,USA,1691.8995401000002,15.680972200000001,24.1401
plymouth fury,18.0,6,225.0,95.0,3785,19.0,1975,USA,1716.8471204500001,13.067476833333334,28.96812
buick skyhawk,21.0,6,231.0,110.0,3039,15.0,1975,USA,1378.46721243,11.20069442857143,33.79614
chevrolet monza 2+2,20.0,8,262.0,110.0,3221,13.5,1975,USA,1461.02102377,11.76072915,32.1868
ford mustang ii,13.0,8,302.0,129.0,3169,12.0,1975,USA,1437.4342205300002,18.093429461538463,20.92142
toyota corolla,29.0,4,97.0,75.0,2171,16.0,1975,Japan,984.74903527,8.110847689655172,46.67086
ford pinto,23.0,4,140.0,83.0,2639,17.0,1975,USA,1197.03026443,10.226721,37.01482
amc gremlin,20.0,6,232.0,100.0,2914,16.0,1975,USA,1321.76816618,11.76072915,32.1868
pontiac astro,23.0,4,140.0,78.0,2592,18.5,1975,USA,1175.71142304,10.226721,37.01482
toyota corona,24.0,4,134.0,96.0,2702,13.5,1975,Japan,1225.6065837400001,9.800607625,38.62416
volkswagen dasher,25.0,4,90.0,71.0,2223,16.5,1975,Europe,1008.33583851,9.40858332,40.2335
datsun 710,24.0,4,119.0,97.0,2545,17.0,1975,Japan,1154.39258165,9.800607625,38.62416
ford pinto,18.0,6,171.0,97.0,2984,14.5,1975,USA,1353.51963208,13.067476833333334,28.96812
volkswagen rabbit,29.0,4,90.0,70.0,1937,14.0,1975,Europe,878.60842069,8.110847689655172,46.67086
amc pacer,19.0,6,232.0,90.0,3211,17.0,1975,USA,1456.48510007,12.379714894736843,30.57746
audi 100ls,23.0,4,115.0,95.0,2694,15.0,1975,Europe,1221.9778447800002,10.226721,37.01482
peugeot 504,23.0,4,120.0,88.0,2957,17.0,1975,Europe,1341.27263809,10.226721,37.01482
volvo 244dl,22.0,4,121.0,98.0,2945,14.5,1975,Europe,1335.82952965,10.691571954545454,35.40548
saab 99le,25.0,4,121.0,115.0,2671,13.5,1975,Europe,1211.54522027,9.40858332,40.2335
honda civic cvcc,33.0,4,91.0,53.0,1795,17.5,1975,Japan,814.19830415,7.127714636363637,53.10822
fiat 131,28.0,4,107.0,86.0,2464,15.5,1976,Europe,1117.6515996800001,8.400520821428572,45.06152
opel 1900,25.0,4,116.0,81.0,2220,16.9,1976,Europe,1006.9750614000001,9.40858332,40.2335
capri ii,25.0,4,140.0,92.0,2572,14.9,1976,USA,1166.63957564,9.40858332,40.2335
dodge colt,26.0,4,98.0,79.0,2255,17.7,1976,USA,1022.85079435,9.046714730769231,41.84284
renault 12tl,27.0,4,101.0,83.0,2202,15.3,1976,Europe,998.8103987400001,8.711651222222223,43.45218
chevrolet chevelle malibu classic,17.5,8,305.0,140.0,4215,13.0,1976,USA,1911.89183955,13.440833314285715,28.16345
dodge coronet brougham,16.0,8,318.0,150.0,4190,13.0,1976,USA,1900.5520303,14.7009114375,25.74944
amc matador,15.5,8,304.0,120.0,3962,13.9,1976,USA,1797.13296994,15.175134387096774,24.94477
ford gran torino,14.5,8,351.0,152.0,4215,12.8,1976,USA,1911.89183955,16.221695379310344,23.33543
plymouth valiant,22.0,6,225.0,100.0,3233,15.4,1976,USA,1466.4641322100001,10.691571954545454,35.40548
chevrolet nova,22.0,6,250.0,105.0,3353,14.5,1976,USA,1520.89521661,10.691571954545454,35.40548
ford maverick,24.0,6,200.0,81.0,3012,17.6,1976,USA,1366.22021844,9.800607625,38.62416
amc hornet,22.5,6,232.0,90.0,3085,17.6,1976,USA,1399.33246145,10.453981466666667,36.21015
chevrolet chevette,29.0,4,85.0,52.0,2035,22.2,1976,USA,923.0604729500001,8.110847689655172,46.67086
chevrolet woody,24.5,4,98.0,60.0,2164,22.1,1976,USA,981.5738886800001,9.600595224489796,39.42883
vw rabbit,29.0,4,90.0,70.0,1937,14.2,1976,Europe,878.60842069,8.110847689655172,46.67086
honda civic,33.0,4,91.0,53.0,1795,17.4,1976,Japan,814.19830415,7.127714636363637,53.10822
dodge aspen se,20.0,6,225.0,100.0,3651,17.7,1976,USA,1656.0657428700001,11.76072915,32.1868
ford granada ghia,18.0,6,250.0,78.0,3574,21.0,1976,USA,1621.13913038,13.067476833333334,28.96812
pontiac ventura sj,18.5,6,250.0,110.0,3645,16.2,1976,USA,1653.34418865,12.714301783783784,29.77279
amc pacer d/l,17.5,6,258.0,95.0,3193,17.8,1976,USA,1448.32043741,13.440833314285715,28.16345
volkswagen rabbit,29.5,4,97.0,71.0,1825,12.2,1976,Europe,827.80607525,7.973375694915254,47.47553
datsun b-210,32.0,4,85.0,70.0,1990,17.0,1976,Japan,902.6488163,7.35045571875,51.49888
toyota corolla,28.0,4,97.0,75.0,2155,16.4,1976,Japan,977.49155735,8.400520821428572,45.06152
ford pinto,26.5,4,140.0,72.0,2565,13.6,1976,USA,1163.46442905,8.876022,42.64751
volvo 245,20.0,4,130.0,102.0,3150,15.7,1976,Europe,1428.8159655000002,11.76072915,32.1868
plymouth volare premier v8,13.0,8,318.0,150.0,3940,13.2,1976,USA,1787.1539378,18.093429461538463,20.92142
peugeot 504,19.0,4,120.0,88.0,3270,21.9,1976,Europe,1483.2470499,12.379714894736843,30.57746
toyota mark ii,19.0,6,156.0,108.0,2930,15.5,1976,Japan,1329.0256441000001,12.379714894736843,30.57746
mercedes-benz 280s,16.5,6,168.0,120.0,3820,16.7,1976,Europe,1732.7228534,14.255429272727273,26.55411
cadillac seville,16.5,8,350.0,180.0,4380,12.1,1976,USA,1986.7345806,14.255429272727273,26.55411
chevy c10,13.0,8,350.0,145.0,4055,12.0,1976,USA,1839.31706035,18.093429461538463,20.92142
ford f108,13.0,8,302.0,130.0,3870,15.0,1976,USA,1755.4024719000001,18.093429461538463,20.92142
dodge d100,13.0,8,318.0,150.0,3755,14.0,1976,USA,1703.23934935,18.093429461538463,20.92142
honda Accelerationord cvcc,31.5,4,98.0,68.0,2045,18.5,1977,Japan,927.5963966500001,7.467129619047619,50.69421
buick opel isuzu deluxe,30.0,4,111.0,80.0,2155,14.8,1977,USA,977.49155735,7.840486100000001,48.2802
renault 5 gtl,36.0,4,79.0,58.0,1825,18.6,1977,Europe,827.80607525,6.533738416666667,57.93624
plymouth arrow gs,25.5,4,122.0,96.0,2300,15.5,1977,USA,1043.262451,9.224101294117647,41.03817
datsun f-10 hatchback,33.5,4,85.0,70.0,1945,16.8,1977,Japan,882.2371596500001,7.021330835820896,53.91289
chevrolet caprice classic,17.5,8,305.0,145.0,3880,12.5,1977,USA,1759.9383956000001,13.440833314285715,28.16345
oldsmobile cutlass supreme,17.0,8,260.0,110.0,4060,19.0,1977,USA,1841.5850222000001,13.836151941176471,27.35878
dodge monaco brougham,15.5,8,318.0,145.0,4140,13.7,1977,USA,1877.8724118,15.175134387096774,24.94477
mercury cougar brougham,15.0,8,302.0,130.0,4295,14.9,1977,USA,1948.17922915,15.680972200000001,24.1401
chevrolet concours,17.5,6,250.0,110.0,3520,16.4,1977,USA,1596.6451424000002,13.440833314285715,28.16345
buick skylark,20.5,6,231.0,105.0,3425,16.9,1977,USA,1553.5538672500002,11.473882097560976,32.99147
plymouth volare custom,19.0,6,225.0,100.0,3630,17.7,1977,USA,1646.5403031,12.379714894736843,30.57746
ford granada,18.5,6,250.0,98.0,3525,19.0,1977,USA,1598.91310425,12.714301783783784,29.77279
pontiac grand prix lj,16.0,8,400.0,180.0,4220,11.1,1977,USA,1914.1598014,14.7009114375,25.74944
chevrolet monte carlo landau,15.5,8,350.0,170.0,4165,11.4,1977,USA,1889.2122210500002,15.175134387096774,24.94477
chrysler cordoba,15.5,8,400.0,190.0,4325,12.2,1977,USA,1961.7870002500001,15.175134387096774,24.94477
ford thunderbird,16.0,8,351.0,149.0,4335,14.5,1977,USA,1966.3229239500001,14.7009114375,25.74944
volkswagen rabbit custom,29.0,4,97.0,78.0,1940,14.5,1977,Europe,879.9691978000001,8.110847689655172,46.67086
pontiac sunbird coupe,24.5,4,151.0,88.0,2740,16.0,1977,USA,1242.8430938000001,9.600595224489796,39.42883
toyota corolla liftback,26.0,4,97.0,75.0,2265,18.2,1977,Japan,1027.3867180500001,9.046714730769231,41.84284
ford mustang ii 2+2,25.5,4,140.0,89.0,2755,15.8,1977,USA,1249.64697935,9.224101294117647,41.03817
chevrolet chevette,30.5,4,98.0,63.0,2051,17.0,1977,USA,930.31795087,7.711953540983607,49.08487
dodge colt m/m,33.5,4,98.0,83.0,2075,15.9,1977,USA,941.20416775,7.021330835820896,53.91289
subaru dl,30.0,4,97.0,67.0,1985,16.4,1977,Japan,900.38085445,7.840486100000001,48.2802
volkswagen dasher,30.5,4,97.0,78.0,2190,14.1,1977,Europe,993.3672903,7.711953540983607,49.08487
datsun 810,22.0,6,146.0,97.0,2815,14.5,1977,Japan,1276.86252155,10.691571954545454,35.40548
